respondent_id,age_group,gender,nps,satisfaction,channel,free_text,submitted_at
R2025-000065,40대,남성,4,3,카카오톡 채널,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-05 16:13:00
R2025-000066,40대,여성,8,4,카카오톡 채널,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-05 16:31:00
R2025-000067,40대,여성,7,4,카카오톡 채널,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-05 19:03:00
R2025-000068,30대,여성,0,1,네이버 검색,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-05 19:46:00
R2025-000069,10대,여성,7,4,지인 추천,알림이 너무 자주 와서 설정을 바꿨습니다.,2025-03-05 20:11:00
R2025-000070,30대,여성,7,4,카카오톡 채널,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-03-05 20:37:00
R2025-000071,20대,여성,5,3,네이버 검색,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-05 20:52:00
R2025-000072,30대,남성,9,5,앱 푸시,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-05 21:58:00
R2025-000073,50대,남성,6,3,오프라인 매장,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-05 22:11:00
R2025-000074,20대,남성,6,3,지인 추천,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-05 22:14:00
R2025-000075,20대,여성,9,5,이메일,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-05 22:18:00
R2025-000076,30대,여성,7,3,이메일,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-06 00:02:00
R2025-000077,30대,남성,10,5,카카오톡 채널,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-06 00:14:00
R2025-000078,40대,남성,4,2,인스타그램,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-06 01:29:00
R2025-000079,40대,응답하지 않음,9,4,인스타그램,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-06 03:33:00
R2025-000080,50대,남성,6,2,네이버 검색,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-06 05:45:00
R2025-000081,40대,남성,9,4,네이버 검색,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-06 06:04:00
R2025-000082,30대,여성,9,5,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-06 06:53:00
R2025-000083,50대,여성,10,5,지인 추천,알림이 너무 자주 와서 설정을 바꿨습니다.,2025-03-06 07:32:00
R2025-000084,20대,여성,8,5,오프라인 매장,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-06 08:29:00
R2025-000085,10대,남성,7,4,오프라인 매장,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-06 09:20:00
R2025-000086,20대,남성,7,4,카카오톡 채널,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-03-06 09:49:00
R2025-000087,40대,여성,10,4,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-06 10:55:00
R2025-000088,30대,남성,9,5,카카오톡 채널,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-06 12:57:00
R2025-000089,20대,여성,8,4,인스타그램,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-06 14:43:00
R2025-000090,30대,여성,8,5,이메일,알림이 너무 자주 와서 설정을 바꿨습니다.,2025-03-06 14:51:00
R2025-000091,20대,여성,7,3,이메일,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-06 16:54:00
R2025-000092,40대,여성,8,4,이메일,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-06 17:04:00
R2025-000093,30대,남성,10,4,이메일,환불 절차가 예상보다 오래 걸렸습니다.,2025-03-06 17:10:00
R2025-000094,30대,여성,5,3,앱 푸시,회원 등급 설명이 한눈에 들어오지 않았습니다.,2025-03-06 19:48:00
R2025-000095,30대,남성,4,3,인스타그램,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-06 20:08:00
R2025-000096,40대,남성,9,5,네이버 검색,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-07 01:15:00
R2025-000097,30대,여성,10,4,네이버 검색,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-03-07 02:27:00
R2025-000098,20대,여성,3,3,카카오톡 채널,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-07 02:49:00
R2025-000099,20대,남성,5,3,네이버 검색,추천 상품이 제 관심사와 잘 맞았습니다.,2025-03-07 02:58:00
R2025-000100,60대 이상,여성,8,4,네이버 검색,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-07 07:21:00
R2025-000101,50대,남성,9,4,앱 푸시,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-07 08:57:00
R2025-000102,40대,여성,8,5,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-07 11:17:00
R2025-000103,20대,남성,9,5,앱 푸시,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-03-07 13:35:00
R2025-000104,60대 이상,남성,8,4,오프라인 매장,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-03-07 14:30:00
R2025-000105,40대,여성,8,4,지인 추천,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-03-07 15:08:00
R2025-000106,40대,여성,5,3,지인 추천,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-07 15:28:00
R2025-000107,30대,남성,9,5,카카오톡 채널,처음 이용했는데 가입 절차가 어렵지 않았습니다.,2025-03-07 17:18:00
R2025-000108,30대,여성,4,3,지인 추천,앱에서 필요한 정보를 찾기 쉬워서 만족합니다.,2025-03-07 23:39:00
R2025-000109,20대,여성,1,2,네이버 검색,상품 설명과 실제 구성이 거의 같아서 신뢰가 갔습니다.,2025-03-08 03:33:00
R2025-000110,50대,여성,10,5,앱 푸시,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-08 04:01:00
R2025-000111,30대,여성,8,5,카카오톡 채널,영수증과 결제 내역 확인이 쉬웠습니다.,2025-03-08 07:05:00
R2025-000112,20대,남성,8,3,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-08 07:18:00
R2025-000113,30대,남성,8,4,지인 추천,문제 발생 후 처리 결과를 끝까지 알려줘서 좋았습니다.,2025-03-08 07:41:00
R2025-000114,40대,여성,9,4,지인 추천,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-08 09:12:00
R2025-000115,20대,남성,6,3,카카오톡 채널,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-08 09:30:00
R2025-000116,50대,여성,4,3,지인 추천,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-08 10:30:00
R2025-000117,40대,여성,3,2,네이버 검색,검색 필터가 세분화되어 원하는 상품을 빨리 찾았습니다.,2025-03-08 10:46:00
R2025-000118,40대,남성,8,4,지인 추천,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-08 14:46:00
R2025-000119,30대,응답하지 않음,7,4,네이버 검색,직원 응대가 친절했고 설명도 이해하기 쉬웠습니다.,2025-03-08 15:02:00
R2025-000120,40대,여성,9,4,네이버 검색,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-08 16:42:00
R2025-000121,40대,여성,7,3,네이버 검색,신규 고객용 안내가 조금 더 자세했으면 합니다.,2025-03-08 17:39:00
R2025-000122,40대,여성,10,5,카카오톡 채널,오프라인 매장에서 안내받은 내용과 앱 정보가 일치했습니다.,2025-03-08 18:38:00
R2025-000123,20대,남성,7,4,카카오톡 채널,결제 오류 안내가 구체적이지 않아 재시도했습니다.,2025-03-08 20:38:00
R2025-000124,30대,여성,10,5,카카오톡 채널,사용 중 오류가 한 번 있었지만 재접속 후 해결됐습니다.,2025-03-08 21:55:00
R2025-000125,10대,여성,1,2,네이버 검색,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-08 23:06:00
R2025-000126,30대,남성,7,4,네이버 검색,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-09 08:18:00
R2025-000127,30대,여성,9,5,인스타그램,첫 화면에 정보가 많아서 조금 복잡하게 느껴졌습니다.,2025-03-09 10:31:00
R2025-000128,20대,여성,4,3,네이버 검색,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-03-09 11:13:00
R2025-000129,20대,여성,4,3,지인 추천,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-09 11:55:00
R2025-000130,40대,여성,6,3,앱 푸시,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-03-09 13:20:00
R2025-000131,20대,여성,7,3,카카오톡 채널,포장 상태가 깔끔했고 파손 없이 도착했습니다.,2025-03-09 13:25:00
R2025-000132,50대,남성,7,4,이메일,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-09 14:32:00
R2025-000133,40대,남성,6,3,네이버 검색,주소 입력 화면에서 자동완성이 잘 작동했습니다.,2025-03-09 17:33:00
R2025-000134,30대,남성,3,3,네이버 검색,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-09 18:39:00
R2025-000135,40대,응답하지 않음,7,4,지인 추천,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-09 18:54:00
R2025-000136,10대,여성,0,2,오프라인 매장,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-10 01:04:00
R2025-000137,60대 이상,여성,4,3,이메일,결제 오류 안내가 구체적이지 않아 재시도했습니다.,2025-03-10 01:51:00
R2025-000138,30대,남성,7,4,네이버 검색,고객센터 연결까지 대기 시간이 길었습니다.,2025-03-10 02:36:00
R2025-000139,50대,여성,4,3,오프라인 매장,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-10 08:11:00
R2025-000140,20대,남성,8,3,카카오톡 채널,결제 오류 안내가 구체적이지 않아 재시도했습니다.,2025-03-10 09:03:00
R2025-000141,30대,남성,4,3,카카오톡 채널,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-10 09:21:00
R2025-000142,30대,여성,4,1,네이버 검색,영수증과 결제 내역 확인이 쉬웠습니다.,2025-03-10 09:39:00
R2025-000143,50대,여성,8,4,앱 푸시,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-10 14:17:00
R2025-000144,40대,여성,1,1,네이버 검색,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-10 15:21:00
R2025-000145,30대,여성,6,3,오프라인 매장,포인트 적립 내역이 바로 보여서 만족했습니다.,2025-03-10 15:30:00
R2025-000146,20대,여성,10,5,지인 추천,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-10 19:27:00
R2025-000147,30대,여성,9,5,지인 추천,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-10 21:19:00
R2025-000148,30대,남성,5,3,지인 추천,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-10 21:50:00
R2025-000149,30대,남성,3,3,이메일,상세 페이지 사진이 충분해서 구매 결정에 도움이 됐습니다.,2025-03-10 23:24:00
R2025-000150,10대,남성,9,4,네이버 검색,가입 후 첫 구매 혜택이 명확해서 좋았습니다.,2025-03-11 01:05:00
R2025-000151,50대,여성,10,5,네이버 검색,매장 직원이 대안을 제시해줘서 문제를 빨리 해결했습니다.,2025-03-11 01:08:00
R2025-000152,50대,여성,8,5,인스타그램,앱 푸시로 받은 혜택을 바로 사용할 수 있어 편했습니다.,2025-03-11 02:35:00
R2025-000153,20대,여성,5,2,카카오톡 채널,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-11 04:39:00
R2025-000154,40대,여성,2,2,네이버 검색,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-11 05:23:00
R2025-000155,20대,남성,7,4,네이버 검색,전체적으로 안정적이지만 로딩 속도는 개선되면 좋겠습니다.,2025-03-11 06:19:00
R2025-000156,40대,여성,10,5,카카오톡 채널,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-11 06:44:00
R2025-000157,30대,여성,10,5,네이버 검색,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-11 07:06:00
R2025-000158,40대,남성,4,2,네이버 검색,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-11 09:07:00
R2025-000159,40대,여성,9,4,이메일,고객센터 답변이 정중했지만 해결까지 시간이 걸렸습니다.,2025-03-11 14:08:00
R2025-000160,40대,여성,5,3,카카오톡 채널,처음 이용했는데 가입 절차가 어렵지 않았습니다.,2025-03-11 15:08:00
R2025-000161,20대,여성,7,4,앱 푸시,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-11 15:41:00
R2025-000162,50대,남성,9,5,앱 푸시,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-11 16:39:00
R2025-000163,20대,남성,6,4,네이버 검색,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-11 20:36:00
R2025-000164,10대,여성,4,2,지인 추천,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-11 21:38:00
R2025-000165,40대,남성,9,4,인스타그램,필요한 메뉴가 눈에 잘 들어와서 사용하기 편했습니다.,2025-03-12 02:49:00
R2025-000166,30대,남성,7,4,지인 추천,교환 신청 화면이 간단해서 부담이 없었습니다.,2025-03-12 04:46:00
R2025-000167,50대,남성,10,5,네이버 검색,매장 픽업 시간이 정확하게 안내됐습니다.,2025-03-12 04:57:00
R2025-000168,50대,여성,7,3,네이버 검색,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-12 05:45:00
R2025-000169,30대,여성,9,5,네이버 검색,모바일 화면에서 버튼 위치가 조금 헷갈렸습니다.,2025-03-12 09:29:00
R2025-000170,60대 이상,남성,7,3,인스타그램,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-12 09:46:00
R2025-000171,30대,여성,7,3,앱 푸시,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-12 15:30:00
R2025-000172,30대,남성,4,3,지인 추천,배송 기사님 요청사항 반영이 잘 됐습니다.,2025-03-12 16:10:00
R2025-000173,20대,남성,2,1,지인 추천,직원 응대가 친절했고 설명도 이해하기 쉬웠습니다.,2025-03-12 16:48:00
R2025-000174,50대,여성,3,3,앱 푸시,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-12 17:25:00
R2025-000175,20대,남성,8,4,지인 추천,쿠폰 적용 방법이 더 잘 보이면 좋겠습니다.,2025-03-12 17:27:00
R2025-000176,10대,남성,7,3,네이버 검색,앱 디자인이 깔끔하고 글자가 잘 보입니다.,2025-03-12 22:03:00
R2025-000177,30대,남성,1,2,이메일,프로모션 문구가 이해하기 쉬웠습니다.,2025-03-12 22:25:00
R2025-000178,60대 이상,여성,6,2,카카오톡 채널,직원 응대가 친절했고 설명도 이해하기 쉬웠습니다.,2025-03-12 23:17:00
R2025-000179,50대,남성,5,2,네이버 검색,배송 완료 사진이 남아 있어 확인이 쉬웠습니다.,2025-03-12 23:42:00
R2025-000180,40대,남성,10,5,인스타그램,영수증과 결제 내역 확인이 쉬웠습니다.,2025-03-13 01:26:00
R2025-000181,50대,남성,10,5,앱 푸시,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-13 02:49:00
R2025-000182,50대,남성,4,2,네이버 검색,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-13 03:19:00
R2025-000183,30대,남성,8,4,인스타그램,재고 안내가 정확해서 헛걸음하지 않았습니다.,2025-03-13 04:15:00
R2025-000184,30대,여성,8,4,네이버 검색,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-13 05:33:00
R2025-000185,40대,여성,10,5,네이버 검색,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-13 10:20:00
R2025-000186,40대,여성,6,3,네이버 검색,문의 유형을 고르는 단계가 많아서 시간이 걸렸습니다.,2025-03-13 11:39:00
R2025-000187,30대,여성,5,3,지인 추천,문의 접수 후 예상 처리 시간이 표시되면 좋겠습니다.,2025-03-13 14:46:00
R2025-000188,20대,여성,8,4,이메일,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-13 16:34:00
R2025-000189,40대,남성,9,5,네이버 검색,혜택 조건이 복잡해서 한 번 더 확인해야 했습니다.,2025-03-13 18:34:00
R2025-000190,20대,여성,9,4,카카오톡 채널,카카오톡으로 문의하니 답변 확인이 편했습니다.,2025-03-13 21:27:00
R2025-000191,50대,남성,7,4,네이버 검색,배송 안내 문자가 제때 와서 안심이 됐습니다.,2025-03-14 00:17:00
R2025-000192,20대,남성,7,3,네이버 검색,상담 기록이 남아 있어서 같은 설명을 반복하지 않아도 됐습니다.,2025-03-14 00:45:00
R2025-000193,20대,여성,8,4,인스타그램,반품 배송비 안내가 더 앞쪽에 있으면 좋겠습니다.,2025-03-14 04:40:00
R2025-000194,50대,남성,10,5,지인 추천,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-14 05:14:00
R2025-000195,20대,남성,9,4,지인 추천,이벤트 안내가 실제 구매에 도움이 됐습니다.,2025-03-14 07:59:00
R2025-000196,20대,남성,7,4,카카오톡 채널,할인 금액이 결제 전 명확하게 보여서 좋았습니다.,2025-03-14 09:18:00
R2025-000197,40대,여성,7,4,인스타그램,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-14 14:00:00
R2025-000198,50대,남성,7,4,네이버 검색,가격 대비 품질이 좋아서 주변에 추천했습니다.,2025-03-14 15:25:00
R2025-000199,20대,남성,6,4,네이버 검색,검색 결과가 원하는 순서로 나오지 않아 불편했습니다.,2025-03-14 17:19:00
R2025-000200,30대,남성,9,5,앱 푸시,기존 고객에게도 혜택이 더 있으면 좋겠습니다.,2025-03-14 19:14:00
R2025-000201,40대,남성,9,5,오프라인 매장,회원 혜택이 명확해서 계속 이용할 생각입니다.,2025-03-14 19:25:00
R2025-000202,60대 이상,응답하지 않음,9,4,앱 푸시,이전 구매 내역을 기준으로 다시 주문하기 편했습니다.,2025-03-14 22:54:00
R2025-000203,30대,여성,4,3,이메일,예약 확인 화면이 직관적이라 실수가 줄었습니다.,2025-03-14 23:46:00
R2025-000204,20대,남성,7,3,지인 추천,품절 대체 안내가 빨라서 불편이 적었습니다.,2025-03-15 01:26:00
R2025-000205,10대,여성,3,2,앱 푸시,고객센터 연결까지 대기 시간이 길었습니다.,2025-03-15 02:48:00
R2025-000206,20대,응답하지 않음,6,3,카카오톡 채널,서비스 품질은 좋지만 가격은 조금 부담됩니다.,2025-03-15 05:30:00
R2025-000207,20대,여성,3,2,네이버 검색,혜택 조건이 복잡해서 한 번 더 확인해야 했습니다.,2025-03-15 05:44:00
R2025-000208,40대,여성,6,4,네이버 검색,상품 비교 기능이 있으면 더 좋겠습니다.,2025-03-15 07:10:00
